主要基金,中租,京城,三信,台企,兆豐,王道,陽信,基富通,鉅亨,華南銀,國泰世華,群益證,新光銀,永豐金證,凱基證,一銀,彰銀,安泰,合庫,土銀,華泰,凱基銀,高雄銀,華南證,好好證券
歐義銳榮義大利卓越股票基金R,244,O,8301,9306,3D03,EZ001,2703,LU0130323438,B50002,X,X,EUZ0002,X,64C4727T,EZ0027,EU27,2602,1A07,3001,X,X,ER07,3707,,
歐義銳榮義大利卓越股票基金R2,220,O,8302,9305,3D08,EZ002,2704,LU0299357342,B50025,X,X,EUZ0001,X,64C4726T,EZ0026,EU28,2607,1A08,3005,X,2007,ER08,3708,,
歐義銳榮歐洲中小型股基金R,225,O,X,9308,3D04,EZ008,2707,LU0012157102,B50004,4207,710004,EUZ0007,X,64C4730T,EZ0030,EU14,2604,1A13,3004,X,X,ER11,3709,,
歐義銳榮歐洲中小型股基金R2,224,O,X,9307,3D09,EZ009,2708,LU0299362771,B50027,X,710009,EUZ0008,8002,64C4731T,EZ0031,EU15,2609,1A14,3008,X,2009,X,3710,,
歐義銳榮靈活策略入息基金R2,248,X,X,9332,3D26,EZ026,2715,LU1158068749,B50081,X,X,EUZ0035,X,X,EZ0036,EU37,X,1A31,3022,X,X,X,X,,
歐義銳榮靈活策略入息基金RM2,252,X,8332,9333,3D27,EZ029,2716,LU1158069390,B50083,X,X,X,X,X,EZ0037,EU38,X,X,X,X,X,X,X,,
歐義銳榮靈活策略入息基金RU2,249,O,8333,9334,X,EZ031,2717,LU1240313467,B50085,X,710016,EUZ0032,X,X,EZ0042,EU41,X,X,X,X,X,X,X,,
歐義銳榮靈活策略入息基金RM,250,X,X,X,3D28,EZ028,2718,LU1158069127,B50082,X,710017,X,X,X,EZ0038,EU36,X,X,X,X,X,X,X,,
歐義銳榮靈活策略入息基金R4,259,X,X,9335,X,EZ027,2719,LU1158069044,B50089,X,X,EUZ0033,X,X,EZ0039,EU39,X,X,X,X,X,X,X,,
歐義銳榮靈活策略入息基金RM4,258,X,X,9336,X,EZ030,2720,LU1158069473,B50088,X,X,X,X,X,EZ0040,EU40,X,X,X,X,X,X,X,,
歐義銳榮歐洲中小型股基金RH2,254,O,X,X,X,EZ010,2721,LU1240313202,B50084,X,X,EUZ0036,X,64C4738T,EZ0041,EU44,X,X,X,X,X,X,X,,
歐義銳榮歐洲非投資等級債券基金R,229,O,X,9316,3D05,EZ013,2751,LU0114074718,B50005,4209,710005,EUZ0009,8009,64C4734T,EZ0034,EU05,2605,1A15,3061,2402,X,ER17,3701,,
歐義銳榮歐洲非投資等級債券基金R2,246,O,X,9315,3D10,EZ014,2752,LU0299364041,B50028,4210,710010,EUZ0023,8010,64C4735T,EZ0035,EU07,2610,1A16,3062,2416,X,ER18,3702,,
歐義銳榮新興市場債券基金R,239,X,X,9318,3D15,EZ021,2753,LU0090979021,B50015,X,X,X,X,X,X,EU31,X,1A17,X,2413,2022,ER15,3717,,
歐義銳榮新興市場債券基金R2,240,X,X,9317,3D16,EZ022,2754,LU0299363662,B50024,X,X,EUZ0010,8018,X,X,EU34 ,X,1A18,3065,2414,2023,ER16,3718,,
歐義銳榮日本債券基金R,232,X,8319,9319,3D17,EZ019,2755,LU0090978643,B50013,X,710011,EUZ0020,8019,64C4710T,EZ0010,EU29,2611,1A19,3063,X,X,ER19,3719,,
歐義銳榮歐洲非投資等級債券基金RM,228,O,X,9327,3D18,EZ015,2756,LU0497415611,B50069,4222,710012,X,X,64C4732T,EZ0032,EU06,2616,1A20,3066,2424,2016,ER20,3720,,
歐義銳榮歐洲非投資等級債券基金RM2,226,X,X,9326,3D19,EZ016,2757,LU0497424365,B50070,4223,710013,X,X,64C4733T,EZ0033,EU08,2617,1A21,3067,2425,2017,ER21,3721,,
歐義銳榮新興市場債券基金RM,238,X,X,X,3D20,EZ023,2758,LU0497415298,B50067,X,X,X,X,64C4719T,EZ0019,EU33,X,1A22,3068,2426,X,ER22,X,,
歐義銳榮新興市場債券基金RM2,245,X,X,9328,3D21,EZ024,2759,LU0497422583,B50068,4221,X,X,X,64C4720T,EZ0020,EU35,X,1A23,3069,2427,X,ER23,X,,
