主要基金,幣別,級別,配息,台新,陽信,臺銀,永豐,中信,兆豐,臺企,三信,瑞士,基富通,鉅亨,中租,王道,京城,一銀,彰銀,安泰,板信,華泰,上海,土銀,合庫,高雄銀,凱基銀,富邦,玉山,元富證,遠銀,國泰,華南,新光銀,統一證,凱基證,台中銀,元大銀,星展,元大證,兆豐證,群益證,富邦證,永豐金證,將來銀,好好證
AI機器人,美元,前收,累積,5199,7E05,DH01,436,65300003,7F05,D603,1596,x,FSI012,A03060,34031,21009,x,51CE,0E01,9X01,9101,N405,6B04,L503,x,4527,CF05,x,7604,FD01033,FO06 ,10120037,9E01,9S01 ,A230007B,3033,x,x,x,WMF002945,有上架,49,x,240012,x,FS30
AI機器人,美元,後收,累積,8454,x,x,x,65300012,8G15,x,x,x,x,x,x,51005,x,88AS,x,4J03,x,x,x,x,x,x,x,x,1B04,x,ES06,x,9E13,x,A23B006D,x,x,x,x,x,x,51,x,x,x,X
AI機器人,台幣,前收,累積,3725,7523,4832,GK4,55300032,3337,6828,1537,x,FSI011,A03059,34030,21008,x,51CD,6223,5829,1226,4729,6020,C431,x,4526,FC07,x,1626,FD01032,DN28,10120036,039028,0533,A230007A,3032,x,x,x,WMF002944,有上架,48,x,240011,有上架,FS29
AI機器人,台幣,後收,累積,8654,x,x,x,x,9813,x,x,x,x,x,x,51004,x,88AR,x,5B03,x,x,x,x,x,x,x,x,1A26,x,EE06 ,x,039036,x,A23B006C,x,x,x,x,x,x,50,x,x,x,X
AI人工智慧,美元,前收,累積,5194,7E03,DH14,x,65300014,7F06,D615,x,x,FSI018,A03099,34037,21035,x,51CV,0E06,9X06,9106,N403,x,L505,CQ01,4541,CF11,x,7603,x,FO05,10120045,x,x,A230003B,3049,x,x,x,WMF003537,有上架,69,x,240008,x,FS65
AI人工智慧,美元,後收,累積,8456,x,P711,x,65300015,8G01,D686,x,x,x,x,x,51031,x,88AY,0EA3,4J02,x,x,x,x,YE01,x,CN05,x,1B03,x,ES05 ,x,x,x,A23B003D,3067,x,x,x,x,x,71,x,x,x,X
AI人工智慧,台幣,前收,累積,3730,7521,4854,x,55300038,3338,6842,1543,x,FSI017,A03098,34036,21034,x,51CU,6225,5834,1231,4727,x,C433,7918,4540,FC14,x,1625,x,DN27,10120044,x,x,A230003A,3048,x,x,x,WMF003536 ,有上架,68,x,240007,有上架,FS64
AI人工智慧,台幣,後收,累積,8656,x,N709,x,x,9801,6888,x,x,x,x,x,51030,x,88AX,62A3,5B02,x,x,x,x,ZE01,x,CO01,x,1A25,x,EE05 ,x,x,x,A23B003C,3066,x,x,x,x,x,70,x,x,x,X
AI精準醫療,美元,前收,累積,5195,7E04,DH03,488,65300008,7F10,D609,1593,x,FSI016,A03095,34035,21033,x,51CT,0E03,9X05,9105,N404,6B18,L504,x,4531,x,x,7602,FD01041,FO07,10120041,9E08,x,A230002B,3043,x,x,x,WMF003357,有上架,65,x,240010,x,FS60
AI精準醫療,美元,後收,累積,8455,x,x,x,65300009,8G05,x,x,x,x,x,x,51029,x,88AW,x,4J01,x,x,6G01,x,x,x,x,x,1B02,x,ES07,x,x,x,A23B002D,3069,x,x,x,x,x,67,x,x,x,X
