投資工具類型,自然人,法人,備註
1. 結構式商品 (國內),收益：10% 分離課稅,收益：20% (併入營所稅),不論價差或利息，個人皆採分離課稅
2. 結構式商品 (境外),收益：海外所得 (AMT),收益：20% (併入營所稅),透過複委託或海外銀行申購皆屬海外所得
3. 直接美股/海外股票,價差/股利：海外所得 (AMT),價差/股利：20% (併入營所稅),法人無免稅額；美股股息通常會預扣 30%。法人投資損失可與收益互抵。
4. 直接美債/海外債券,價差/利息：海外所得 (AMT),價差/利息：20% (併入營所稅),法人投資損失可與收益互抵，個人則較難
5. 境內基金 (海外標的),價差：免稅,"價差：12% (最低稅負),15%（年營收達 7.5 億歐元之大型跨國企業集團）",個人首選： 賺全球價差卻享有國內免稅優勢
5. 境內基金 (海外標的),配息：海外所得 (AMT),配息：20% (併入營所稅),
6. 境內基金 (貨幣累積),價差：免稅,"價差：12% (最低稅負),15%（年營收達 7.5 億歐元之大型跨國企業集團）",大額資金短期避險、免繳綜所稅的最佳工具
7. 台股 ETF / 台股基金,價差：免稅,"價差：12% (最低稅負),15%（年營收達 7.5 億歐元之大型跨國企業集團）",法人可以損益互抵:含 KY 股、台股及私募基金受益憑證
7. 台股 ETF / 台股基金,配息：28%或合併計稅,配息：免稅,法人首選： 領取國內股利完全免徵營所稅
8. KY 股 / TDR,價差：免稅,"價差：12% (最低稅負),15%（年營收達 7.5 億歐元之大型跨國企業集團）",法人可以損益互抵:含 KY 股、台股及私募基金受益憑證
8. KY 股 / TDR,配息：海外所得 (AMT),配息：20% (併入營所稅),
9. 未上市 (已簽證),價差：20% (最低稅負),"價差：12% (最低稅負),15%（年營收達 7.5 億歐元之大型跨國企業集團）",視同有價證券，損益可互抵，稅率較固定。自然人與法人持有滿3年稅率減半。
10. 未上市 (未簽證),價差：併入綜所稅 (5~40%),價差：20% (併入營所稅),稅務重災區！ 建議持股或儘速完成簽證，沒有持有 3 年減半的優惠。
11.境內私募基金,價差:最低稅負(AMT),"價差：12% (最低稅負),15%（年營收達 7.5 億歐元之大型跨國企業集團）",
11.境內私募基金,配息：28%或合併計稅,配息：無。債券型的利息收入，則需併入營所稅。,
12.境外私募基金,價差:最低稅負(AMT),價差：20% (併入營所稅),
12.境外私募基金,配息:最低稅負(AMT),價差：20% (併入營所稅),
